Data;Sensor;Hora_Ativo;ConsumoWH
01/01/2025;Cozinha;06:17:00;18850,00
02/01/2025;Cozinha;03:37:00;10850,00
03/01/2025;Cozinha;12:21:00;37050,00
04/01/2025;Cozinha;11:53:00;35650,00
05/01/2025;Cozinha;00:16:00;800,00
06/01/2025;Cozinha;20:57:00;62850,00
07/01/2025;Cozinha;04:10:00;12500,00
08/01/2025;Cozinha;01:35:00;4750,00
09/01/2025;Cozinha;07:36:00;22800,00
10/01/2025;Cozinha;07:02:00;21100,00
11/01/2025;Cozinha;15:30:00;46500,00
12/01/2025;Cozinha;13:33:00;40650,00
13/01/2025;Cozinha;04:03:00;12150,00
14/01/2025;Cozinha;10:09:00;30450,00
15/01/2025;Cozinha;04:01:00;12050,00
16/01/2025;Cozinha;14:38:00;43900,00
17/01/2025;Cozinha;08:35:00;25750,00
18/01/2025;Cozinha;12:17:00;36850,00
19/01/2025;Cozinha;08:27:00;25350,00
20/01/2025;Cozinha;01:16:00;3800,00
21/01/2025;Cozinha;16:15:00;48750,00
22/01/2025;Cozinha;11:42:00;35100,00
23/01/2025;Cozinha;10:44:00;32200,00
24/01/2025;Cozinha;13:59:00;41950,00
25/01/2025;Cozinha;10:30:00;31500,00
26/01/2025;Cozinha;09:31:00;28550,00
27/01/2025;Cozinha;14:19:00;42950,00
28/01/2025;Cozinha;17:08:00;51400,00
29/01/2025;Cozinha;13:20:00;40000,00
30/01/2025;Cozinha;15:39:00;46950,00
31/01/2025;Cozinha;13:48:00;41400,00
01/02/2025;Cozinha;14:15:00;42750,00
02/02/2025;Cozinha;11:40:00;35000,00
03/02/2025;Cozinha;11:25:00;34250,00
04/02/2025;Cozinha;06:46:00;20300,00
05/02/2025;Cozinha;13:06:00;39300,00
06/02/2025;Cozinha;06:04:00;18200,00
07/02/2025;Cozinha;13:18:00;39900,00
08/02/2025;Cozinha;07:45:00;23250,00
09/02/2025;Cozinha;06:14:00;18700,00
10/02/2025;Cozinha;15:45:00;47250,00
11/02/2025;Cozinha;13:27:00;40350,00
12/02/2025;Cozinha;12:38:00;37900,00
13/02/2025;Cozinha;10:04:00;30200,00
14/02/2025;Cozinha;06:28:00;19400,00
15/02/2025;Cozinha;15:08:00;45400,00
16/02/2025;Cozinha;18:12:00;54600,00
17/02/2025;Cozinha;03:51:00;11550,00
18/02/2025;Cozinha;11:24:00;34200,00
19/02/2025;Cozinha;08:11:00;24550,00
20/02/2025;Cozinha;07:05:00;21250,00
21/02/2025;Cozinha;11:39:00;34950,00
22/02/2025;Cozinha;12:00:00;36000,00
23/02/2025;Cozinha;17:17:00;51850,00
24/02/2025;Cozinha;12:49:00;38450,00
25/02/2025;Cozinha;16:07:00;48350,00
26/02/2025;Cozinha;02:18:00;6900,00
27/02/2025;Cozinha;11:16:00;33800,00
28/02/2025;Cozinha;00:00:00;0,00
01/03/2025;Cozinha;11:20:00;34000,00
02/03/2025;Cozinha;19:42:00;59100,00
03/03/2025;Cozinha;04:06:00;12300,00
04/03/2025;Cozinha;15:47:00;47350,00
05/03/2025;Cozinha;16:33:00;49650,00
06/03/2025;Cozinha;20:56:00;62800,00
07/03/2025;Cozinha;04:13:00;12650,00
08/03/2025;Cozinha;14:40:00;44000,00
09/03/2025;Cozinha;15:59:00;47950,00
10/03/2025;Cozinha;09:57:00;29850,00
11/03/2025;Cozinha;09:10:00;27500,00
12/03/2025;Cozinha;09:15:00;27750,00
13/03/2025;Cozinha;03:25:00;10250,00
14/03/2025;Cozinha;14:39:00;43950,00
15/03/2025;Cozinha;19:35:00;58750,00
16/03/2025;Cozinha;19:56:00;59800,00
