Data;Sensor;Hora_Ativo;ConsumoWH
01/01/2025;Piscina;15:50:00;110833,33
02/01/2025;Piscina;07:02:00;49233,33
03/01/2025;Piscina;11:38:00;81433,33
04/01/2025;Piscina;08:45:00;61250,00
05/01/2025;Piscina;14:43:00;103016,67
06/01/2025;Piscina;01:50:00;12833,33
07/01/2025;Piscina;12:42:00;88900,00
08/01/2025;Piscina;14:47:00;103483,33
09/01/2025;Piscina;02:38:00;18433,33
10/01/2025;Piscina;15:57:00;111650,00
11/01/2025;Piscina;19:19:00;135216,67
12/01/2025;Piscina;01:51:00;12950,00
13/01/2025;Piscina;13:00:00;91000,00
14/01/2025;Piscina;16:39:00;116550,00
15/01/2025;Piscina;06:38:00;46433,33
16/01/2025;Piscina;16:22:00;114566,67
17/01/2025;Piscina;10:10:00;71166,67
18/01/2025;Piscina;10:40:00;74666,67
19/01/2025;Piscina;15:33:00;108850,00
20/01/2025;Piscina;17:39:00;123550,00
21/01/2025;Piscina;14:25:00;100916,67
22/01/2025;Piscina;14:40:00;102666,67
23/01/2025;Piscina;03:02:00;21233,33
24/01/2025;Piscina;10:22:00;72566,67
25/01/2025;Piscina;08:41:00;60783,33
26/01/2025;Piscina;09:49:00;68716,67
27/01/2025;Piscina;16:32:00;115733,33
28/01/2025;Piscina;18:00:00;126000,00
29/01/2025;Piscina;00:00:00;0,00
30/01/2025;Piscina;12:36:00;88200,00
31/01/2025;Piscina;13:44:00;96133,33
01/02/2025;Piscina;06:50:00;47833,33
02/02/2025;Piscina;09:47:00;68483,33
03/02/2025;Piscina;14:54:00;104300,00
04/02/2025;Piscina;06:06:00;42700,00
05/02/2025;Piscina;04:18:00;30100,00
06/02/2025;Piscina;07:52:00;55066,67
07/02/2025;Piscina;15:35:00;109083,33
08/02/2025;Piscina;12:01:00;84116,67
09/02/2025;Piscina;00:00:00;0,00
10/02/2025;Piscina;08:31:00;59616,67
11/02/2025;Piscina;08:59:00;62883,33
12/02/2025;Piscina;13:13:00;92516,67
13/02/2025;Piscina;15:09:00;106050,00
14/02/2025;Piscina;16:00:00;112000,00
15/02/2025;Piscina;12:37:00;88316,67
16/02/2025;Piscina;15:22:00;107566,67
17/02/2025;Piscina;11:35:00;81083,33
18/02/2025;Piscina;05:25:00;37916,67
19/02/2025;Piscina;21:52:00;153066,67
20/02/2025;Piscina;08:51:00;61950,00
21/02/2025;Piscina;18:46:00;131366,67
22/02/2025;Piscina;13:56:00;97533,33
23/02/2025;Piscina;08:49:00;61716,67
24/02/2025;Piscina;04:23:00;30683,33
25/02/2025;Piscina;08:52:00;62066,67
26/02/2025;Piscina;09:44:00;68133,33
27/02/2025;Piscina;13:55:00;97416,67
28/02/2025;Piscina;00:00:00;0,00
01/03/2025;Piscina;17:55:00;125416,67
02/03/2025;Piscina;02:51:00;19950,00
03/03/2025;Piscina;01:57:00;13650,00
04/03/2025;Piscina;12:43:00;89016,67
05/03/2025;Piscina;15:42:00;109900,00
06/03/2025;Piscina;07:02:00;49233,33
07/03/2025;Piscina;07:22:00;51566,67
08/03/2025;Piscina;12:48:00;89600,00
09/03/2025;Piscina;13:49:00;96716,67
10/03/2025;Piscina;12:15:00;85750,00
