DATA;ID_SENSOR;TimeAtive;TotalGastoWatts
01/01/2025 00:00:00;1;09:09:00;13725
02/01/2025 00:00:00;1;11:04:00;16600
03/01/2025 00:00:00;1;17:32:00;26300
04/01/2025 00:00:00;1;05:59:00;8975
05/01/2025 00:00:00;1;14:38:00;21950
06/01/2025 00:00:00;1;16:31:00;24775
07/01/2025 00:00:00;1;12:32:00;18800
08/01/2025 00:00:00;1;05:01:00;7525
09/01/2025 00:00:00;1;15:07:00;22675
10/01/2025 00:00:00;1;17:26:00;26150
11/01/2025 00:00:00;1;07:33:00;11325
12/01/2025 00:00:00;1;17:35:00;26375
13/01/2025 00:00:00;1;18:46:00;28150
14/01/2025 00:00:00;1;20:38:00;30950
15/01/2025 00:00:00;1;15:52:00;23800
16/01/2025 00:00:00;1;03:39:00;5475
17/01/2025 00:00:00;1;03:02:00;4550
18/01/2025 00:00:00;1;05:07:00;7675
19/01/2025 00:00:00;1;13:21:00;20025
20/01/2025 00:00:00;1;14:31:00;21775
21/01/2025 00:00:00;1;12:28:00;18700
22/01/2025 00:00:00;1;16:21:00;24525
23/01/2025 00:00:00;1;15:49:00;23725
24/01/2025 00:00:00;1;05:29:00;8225
25/01/2025 00:00:00;1;15:44:00;23600
26/01/2025 00:00:00;1;19:11:00;28775
27/01/2025 00:00:00;1;10:20:00;15500
28/01/2025 00:00:00;1;08:11:00;12275
29/01/2025 00:00:00;1;13:55:00;20875
30/01/2025 00:00:00;1;15:01:00;22525
31/01/2025 00:00:00;1;20:53:00;31325
01/02/2025 00:00:00;1;19:02:00;28550
02/02/2025 00:00:00;1;14:44:00;22100
03/02/2025 00:00:00;1;18:55:00;28375
04/02/2025 00:00:00;1;16:15:00;24375
05/02/2025 00:00:00;1;10:22:00;15550
06/02/2025 00:00:00;1;06:34:00;9850
07/02/2025 00:00:00;1;02:35:00;3875
09/02/2025 00:00:00;1;01:17:00;1925
10/02/2025 00:00:00;1;14:25:00;21625
11/02/2025 00:00:00;1;15:11:00;22775
12/02/2025 00:00:00;1;09:14:00;13850
13/02/2025 00:00:00;1;12:46:00;19150
14/02/2025 00:00:00;1;21:20:00;32000
15/02/2025 00:00:00;1;11:42:00;17550
16/02/2025 00:00:00;1;14:35:00;21875
17/02/2025 00:00:00;1;15:44:00;23600
18/02/2025 00:00:00;1;13:48:00;20700
19/02/2025 00:00:00;1;17:18:00;25950
20/02/2025 00:00:00;1;05:13:00;7825
21/02/2025 00:00:00;1;12:23:00;18575
22/02/2025 00:00:00;1;06:46:00;10150
23/02/2025 00:00:00;1;21:37:00;32425
24/02/2025 00:00:00;1;13:05:00;19625
25/02/2025 00:00:00;1;04:50:00;7250
26/02/2025 00:00:00;1;09:57:00;14925
27/02/2025 00:00:00;1;06:19:00;9475
28/02/2025 00:00:00;1;13:14:00;19850
01/03/2025 00:00:00;1;06:29:00;9725
02/03/2025 00:00:00;1;21:46:00;32650
03/03/2025 00:00:00;1;12:44:00;19100
04/03/2025 00:00:00;1;05:03:00;7575
05/03/2025 00:00:00;1;12:18:00;18450
06/03/2025 00:00:00;1;07:44:00;11600
